,Utilitarian,Egalitarian,Nash,AVG Prop
ATR |.|,145.0,0,0.0,2.0285872364672364
ATR |.| RSG(1/1),145.0,0,0.0,2.0285872364672364
ATR |.| RSG(1/2),145.0,0,0.0,2.0285872364672364
ATR |.| RSG(1/5),145.0,0,0.0,2.0285872364672364
ATR c,98.0,0,0.0,3.2668158093758093
ATR c RSG(1/1),145.0,0,0.0,2.0285872364672364
ATR c RSG(1/2),145.0,0,0.0,2.0285872364672364
ATR c RSG(1/5),145.0,0,0.0,2.0285872364672364
ATR 1,145.0,0,0.0,2.0285872364672364
ATR 1 RSG(1/1),145.0,0,0.0,2.0285872364672364
ATR 1 RSG(1/2),145.0,0,0.0,2.0285872364672364
ATR 1 RSG(1/5),145.0,0,0.0,2.0285872364672364
PBCC,69.23376623376623,0,0.0,1.4645585538367354
PBCC RSG(1/1),145.0,0,0.0,2.0285872364672364
PBCC RSG(1/2),145.0,0,0.0,2.0285872364672364
PBCC RSG(1/5),145.0,0,0.0,2.0285872364672364
